Metabolite,Formula
alac__S_c,C5H7O4
alatrna_c,C3H6NOR
all__D_c,C6H12O6
all6p_c,C6H11O9P
alltn_c,C4H6N4O3
alltt_c,C4H7N4O4
allul6p_c,C6H11O9P
altrn_c,C6H11O7
amet_c,C15H23N6O5S
ametam_c,C14H24N6O3S
amob_c,C15H19N5O6S
amp_c,C10H12N5O7P
anhgm_c,C19H29N2O12
anhgm3p_c,C34H52N6O19
anhgm4p_c,C37H57N7O20
anhm_c,C11H16NO7
anhm3p_c,C26H39N5O14
anhm4p_c,C29H44N6O15
anth_c,C7H6NO2
ap4a_c,C20H24N10O19P4
ap5a_c,C20H24N10O22P5
apg120_c,C42H80O11P
apg140_c,C48H92O11P
apg141_c,C48H86O11P
apg160_c,C54H104O11P
apg161_c,C54H98O11P
apg180_c,C60H116O11P
apg181_c,C60H110O11P
apoACP_c,RHO
appl_c,C3H10NO
aps_c,C10H12N5O10PS
ara5p_c,C5H9O8P
arab__L_c,C5H10O5
aragund_c,C71H115N1O17P2
arbt6p_c,C12H15O10P
arbtn_c,C22H33N4O13
arbtn_fe3_c,C22H33FeN4O13
arg__L_c,C6H15N4O2
argsuc_c,C10H17N4O6
argtrna_c,C6H14N4OR
ascb6p_c,C6H7O9P
asn__L_c,C4H8N2O3
asntrna_c,C14H24N2O12PR2
aso3_c,AsO3
aso4_c,AsO4
asp__L_c,C4H6NO4
aspsa_c,C4H7NO3
asptrna_c,C4H5NO3R
athr__L_c,C4H9NO3
athtp_c,C22H28N9O13P3S
atp_c,C10H12N5O13P3
b2coa_c,C25H36N7O17P3S
bbtcoa_c,C28H46N8O17P3S
betald_c,C5H12NO
bglycogen_c,C6H10O5
bmoco_c,C20H20N10O13P2S4Mo
bmoco1gdp_c,C30H32N15O20P3S4Mo
bmocogdp_c,C40H44N20O27P4S4Mo
btal_c,C4H8O
btcoa_c,C25H38N7O17P3S
btn_c,C10H15N2O3S
btnso_c,C10H15N2O4S
but_c,C4H7O2
but2eACP_c,C15H25N2O8PRS
butACP_c,C15H27N2O8PRS
butso3_c,C4H9O3S
bwco_c,C20H20N10O13P2S4W
bwco1gdp_c,C30H32N15O20P3S4W
bwcogdp_c,C40H44N20O27P4S4W
ca2_c,Ca
camp_c,C10H11N5O6P
cbasp_c,C5H6N2O5
cbi_c,C48H72CoN11O8
cbl1_c,C62H88CoN13O14P
cbm_c,CH2NO2
cbp_c,CH2NO5P
cd2_c,Cd
cddec5eACP_c,C23H41N2O8PRS
