Metabolite,Formula
h2o,H2O
3hpp,C3H6O3
nh4,H4N
acryl,C3H4O2
b2coa_0.0091.2,C24H38N7O17P3S
succ,C4H6O4
succoa,C25H40N7O19P3S
ppcoa,C24H40N7O17P3S
o2,O2
h2o2,H2O2
ac,C2H4O2
accoa,C23H38N7O17P3S
coa,C21H36N7O16P3S
oxam_0.5000.1,C3H5NO2
nadh,C21H29N7O14P2
h,H
nad,C21H28N7O14P2
op4en_0.3548.2,C3H4O3
pep,C3H5O6P
pi,H3O4P
glyc-R,C3H6O4
glyald_0.4074.2,C3H7NO3
acrlcoa,C24H38N7O17P3S
laccoa,C24H40N7O18P3S
lac-L,C3H6O3
atp,C10H16N5O13P3
adp,C10H15N5O10P2
acac_0.2813.1,C5H6O3
alac-S,C5H8O4
acald_0.3750.1,C3H4O
lald-D,C3H6O2
nadph,C21H30N7O17P3
nadp,C21H29N7O17P3
fum_0.0870.2,C4H4O3
co2,CO2
aspsa,C4H7NO3
2aobut_0.1026.2,C5H9NO3
ala-D,C3H7NO2
3amac_0.4615.1,C4H6O2
meoh,CH4O
lac-D_0.2692.2,C4H8O3
lac-D,C3H6O3
amet,C15H22N6O5S
ahcys,C14H20N6O5S
chtbs_0.2365.1,C11H17NO7
udp,C9H14N2O12P2
uacgam,C17H27N3O17P2
chtbs_0.1827.2,C11H20N2O7
acgal,C8H15NO6
ala-B,C3H7NO2
acgam6p,C8H16NO9P
uacmam,C17H27N3O17P2
ppa_0.3158.2,C4H6O2
ppcoa_0.0137.3,C25H40N7O17P3S
btcoa,C25H42N7O17P3S
3hbcoa,C25H42N7O18P3S
msa,C3H4O3
mlthf,C20H23N7O6
thf,C19H23N7O6
mal-D,C4H6O5
oaa,C4H4O5
glx,C2H2O3
fum,C4H4O4
3hpp_0.2667.1,C3H6O2
glyc,C3H8O3
fald,CH2O
glyclt,C2H4O3
hpyr,C3H4O4
gcald,C2H4O2
glyald,C3H6O3
2pglyc,C2H5O6P
2pg,C3H7O7P
3hppcoa,C24H40N7O18P3S
ppal,C3H6O
ppoh,C3H8O
ppa,C3H6O2
ppap,C3H7O5P
sucsal,C4H6O3
12ppd-R,C3H8O2
appl,C3H9NO
ghb,C4H8O3
2obut,C4H6O3
ppal_0.2500.1,C3H6O
2ppoh,C3H8O
mmcoa-S,C25H40N7O19P3S
aacoa,C25H40N7O18P3S
btal,C4H8O
btoh,C4H10O
but,C4H8O2
2opntn,C5H8O3
ppal_0.2222.1,C4H8O
ibutoh,C4H10O
3mob,C5H8O3
glyc_0.4118.1,C5H12O2
pant-R_0.0001.2,C6H12O4
2dhp,C6H10O4
3c4mop_0.3200.1,C7H12O4
malcoa,C24H38N7O19P3S
2mcit_0.2941.2,C7H14O4
2mcit_0.0392.3,C8H14O6
ppa_0.1875.2,C4H8O2
23dhmb_0.1212.3,C5H10O3
13ppd,C3H8O2
etoh_0.3750.1,C3H6O
mal-D_0.1212.1,C4H8O4
mal-D_0.1212.2,C4H6O4
ppal_0.1250.2,C3H4O2
ppap_0.1429.2,C3H7O6P
12ppd,C3H8O2
acetol,C3H6O2
but_0.2778.1,C4H8O2
14btd,C4H10O2
btal_0.1000.2,C4H6O2
4abutn,C4H9NO
btcoa_0.0069.3,C25H40N7O18P3S
btcoa_0.0046.2,C25H42N7O18P3S
acetol_0.3333.1,C4H8O2
btd,C4H10O2
btal_0.2500.1,C5H10O
3mbtoh,C5H12O
4mop,C6H10O3
2mbtoh,C5H12O
3mop,C6H10O3
val-L,C5H11NO2
3c3hmp_0.0652.1,C6H10O5
3hpt,C5H10O3
2mcit,C7H10O7
glyald_0.4545.1,C5H10O2
3hhcoa_0.0023.2,C26H44N7O18P3S
3hhcoa,C27H46N7O18P3S
akg,C5H6O5
athr-L,C4H9NO3
aspsa_0.1515.1,C4H9NO2
glu-D,C5H9NO4
3hb,C4H8O3
pacald,C8H8O
2phetoh,C8H10O
phpyr,C9H8O3
4hoxpacd,C8H8O2
34hpp,C9H8O4
tym_0.2542.1,C8H10O2
